1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,
1,5,7,0,0,0,0,9,0,0,9,0,0,0,0,3,5,1,
1,2,2,2,2,2,2,9,0,0,9,2,2,2,2,2,2,1,
1,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1,
1,0,0,0,9,0,0,9,0,0,9,0,0,9,0,0,0,1,
1,0,0,0,9,2,2,2,2,2,2,2,2,9,0,0,0,1,
1,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,1,
1,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,1,
1,0,0,0,9,0,9,0,0,0,0,9,0,9,0,0,0,1,
1,2,2,2,2,2,9,0,0,0,0,9,2,2,2,2,2,1,
1,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,1,
1,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,1,
1,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,10,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
